Start Date, Start Time, Subject, Location, All Day Event, Private
2016/12/20,16:00,박근혜정권 퇴진 비상국민행동 면담,국회 당대표실,False,False
2016/12/21,08:50,인천톨게이트 해고자 복직 및 건설기계근로자 ‘적정임금과 하루8시간 노동 보장’ 문제 해결 꽃 달기,국회 당대표 회의실,False,False
2016/12/21,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/12/21,14:00,대정부질문,본회의장,False,False
2016/12/21,14:30,AI 대응 개선책 마련을 위한 전문가 간담회,국회 당대표 회의실,False,False
2016/12/22,10:00,외통위 현안보고,국회 본청 401호,False,False
2016/12/22,14:00,AI 민생피해 현장 방문 및 상인 간담회,공덕시장 내 청학동부침개(마포구 만리재로 23),False,False
2016/12/23,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/12/23,09:40,소멸시효완성채권 소각행사,국회 본청 앞 계단,False,False
2016/12/23,10:00,정책의원총회,국회 본청 예결위회의장,False,False
2016/12/24,17:00,9차 촛불집회,서울 광화문 광장,False,False
2016/12/26,- 09:,00 최고위원회의,국회 당대표 회의실,False,False
2016/12/27,11:00,호남비전위원회 현장회의,김대중컨벤션센터 2층 컨퍼런스홀(광주 서구 상무누리로 30),False,False
2016/12/27,13:30,현장 방문 및 중소기업인 간담회,(주)무등기업 회의실(광주 광산구 평동산단로 297),False,False
2016/12/28,08:50,서울대 비학생조교 253명 고용보장 축하 꽃 달기,국회 당대표 회의실,False,False
2016/12/28,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/12/28,10:00,재벌개혁과 경제민주화 토론회,의원회관 제1세미나실,False,False
2016/12/28,12:00,수요집회,주한일본대사관 앞(종로구 율곡로 6),False,False
2016/12/28,14:00,‘노동자·농민이 바라는 정치개혁의 방향과 과제’ 토론회,의원회관 제1소회의실,False,False
2016/12/29,10:00,故 김근태 5주기 추도미사 및 추도식,창동성당(도봉구 도봉로 110나길 45),False,False
2016/12/29,14:30,의원총회,본청 246호,False,False
2016/12/29,15:00,본회의,본회의장,False,False
2016/12/30,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/01,07:40,더불어민주당 단배식,신당사 2층,False,False
2017/01/01,09:00,현충원 참배,국립서울현충원,False,False
2017/01/01,10:40,4.19민주묘역참배,국립 4.19민주묘지,False,False
2017/01/01,11:30,이희호여사 예방,동교동 사저,False,False
2017/01/01,14:00,AI 포유류 감염 현황 보고 및 점검 회의,경기도 동물위생시험소(구 축산위생연구소,False,False
2017/01/02,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/03,10:00,'대한민국 적폐청산과 공정국가 건설' 토론회,국회 의원회관 2소회의실,False,False
2017/01/03,11:40,1포병여단 방문,쇠꼴마을(경기도 파주시 법원읍 금곡리 420-3),False,False
2017/01/04,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/05,11:10,가양7종합사회복지관 방문,가양7종합사회복지관(강서구 가양동 1486),False,False
2017/01/05,14:00,시민사회단체연대회의 신년하례회,서울시청 8층 다목적홀,False,False
2017/01/06,08:50,120다산콜센터 상담사 직고용 축하 상생 꽃 달기,국회 당대표 회의실,False,False
2017/01/06,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/06,11:30,대한민국헌정회 신년인사회,국민일보 빌딩 12층 루나미엘레(영등포구 여의공원로 101 C.C.M.M빌딩),False,False
2017/01/06,18:40,재경전라북도민회 신년인사회,세종문화회관 세종홀,False,False
2017/01/07,17:30,11차 촛불집회,서울 광화문광장,False,False
